Feature,Float,Profile,Colour,x1,x2,y1,y2,lat,long
max,3901609,47,green,34.69646654273869,34.73407764549428,2.3108864795918374,2.7759183673469403,-46.556,-58.487000000000016
max,3901634,24,green,35.913559195296564,35.96615896049948,20.558443333333337,23.08710833333334,11.507,-25.632000000000005
max,1901720,206,green,36.72400225238781,36.83265462961791,22.547815102040815,24.085047210884355,-13.25944,-11.73508
max,3901633,20,green,35.074178743467094,35.081479330247795,3.5390014285714297,4.117100816326532,74.982,11.255
max,3902218,12,green,36.76632626097002,36.909092468654066,24.547189081632652,26.373598877551018,-25.05736,-20.19763
max,3900559,42,green,36.89661293220115,37.0282086004094,24.12516814285714,26.138327499999995,-11.1958,-30.4003
max,3902162,15,green,36.66982523721612,36.7699158377247,24.22618333333334,26.292167414965988,0.14615,-35.47809
max,3901659,55,green,36.57207539407875,36.646221515804825,18.32338789115646,19.8924106122449,33.009,-38.11599999999999
max,3902154,13,green,37.0496774200013,37.20708675864205,23.652969642857144,25.418663571428574,-24.35232,-37.30946
max,1901807,49,green,36.52274833559699,36.650419284368866,22.206288503401364,23.998108741496605,-7.51342,-10.76678
max,1902211,60,green,36.71046330656086,36.81944393870706,23.666626904761902,25.189912585034012,-8.60551,-20.75153
max,1901689,113,green,36.35905619328929,36.44789233953148,23.64888515306123,26.558872074829935,6.39387,-32.81831
max,3901876,120,green,35.62902346125259,35.6961886128268,14.667761683673469,15.670299795918368,-41.80856333333333,-42.47148666666666
max,3902155,12,green,34.897245964691066,34.938788722193664,3.4693510204081637,4.039904846938776,-17.01994,-30.02992
max,3902169,18,green,36.954176488720734,37.10963974464458,24.253145102040822,25.981998724489802,-1.3117299999999998,-40.09704
max,2902169,16,green,35.370106610141605,35.4240085354478,14.082546428571433,14.902444285714289,-35.895,67.569
max,3901537,36,green,36.85427854650432,36.98825838199794,22.631555357142865,23.732689285714294,-22.5994,-29.4456
max,1901713,148,green,36.11904025956524,36.18879442923712,21.72240540816326,23.869278775510203,4.47313,-36.90653
max,1902071,16,green,36.32388384684509,36.41523003255854,21.361680272108842,23.421631768707485,-1.31574,-15.67574
max,1902210,57,green,36.32070440492423,36.40759446844953,23.26285056122449,24.92071505102041,-6.70108,-18.92971
max,3901666,8,green,35.53373605710524,35.558952451675346,11.566568163265305,12.474042346938774,48.563,-13.949999999999989
max,1901916,26,green,35.31821420120447,35.38107625167923,14.320237346938768,15.160858027210878,-37.1339,2.7812
max,3901921,70,green,36.47393067827262,36.548681480107305,24.962313061224492,26.416001836734694,5.421,-46.88999999999999
max,1901820,65,green,36.44565126049948,36.533677875820764,22.11753093537415,25.08936513605442,-0.76522,-3.31774
max,3901242,109,green,36.41362200504942,36.50256181073881,22.710814132653063,24.825719387755107,-5.33147,-31.75982
max,1902061,7,green,35.63723558859261,35.699500363205,17.846220952380946,19.724871292517,-34.51245,-28.76952
max,3901859,60,green,37.02559303057134,37.14960304851911,23.45635258503402,25.771155442176877,16.801713333333332,-66.94407333333334
max,1902065,48,green,35.42871828730489,35.495790885801256,14.584958979591836,16.706451054421766,-35.72764,-9.39995
max,3901116,217,green,35.37821332952003,35.4260225474135,14.784719336734694,15.596663503401361,-36.968,2.536
